"","id_deputado","receita_total_eleicoes","tipo_receita","nome_parlamentar","uf","partido_atual","profissao","total_bens","tipo_bem","total_despesas_eleicoes","id_municipio","votos","anos","mandatos","causa_fimdescr"
"522",74291,611710.71,"RECURSOS PRÓPRIOS","Arnon Bezerra","CE","PTB",196,2972948.63,11,611684.77,2300101,19,,1,""
"523",74294,,,"Gonzaga Mota","CE","PSDB",436,,,,,,,,
"524",74295,,,"Inácio Francisco De Assis Nunes Arruda","CE","PCDOB",436,,,,,,,,
"525",74297,454955.71,"RECURSOS PRÓPRIOS","José Linhares","CE","PP",316,4409285,1,454940.53,2300101,2,,1,""
"526",74298,,,"José Pimentel","CE","PT",383,,,,,,2.19575633127995,2,"Ministro de Estado"
"527",74299,,,"Leonidas Cristino","CE","PSDB",436,,,,,,,,
"528",74300,279685.71,"RECURSOS DE OUTROS CANDIDATOS/COMITÊS","Marcelo Teixeira","CE","PR",120,3198751.58,11,279685.71,2300101,9,3.99726214921287,1,"Término da Legislatura"
"529",74301,,,"Nelson Otoch","CE","PSDB",436,,,,,,,,
"530",74303,,,"Pimentel Gomes","",,436,,,,,,,,
"531",74304,,,"Pinheiro Landim","CE","PMDB",436,,,,,,,,
"532",74305,,,"Roberto Pessoa E Outros","CE","PFL",436,,,,,,,,
"533",74306,,,"Rommel Feijo","CE","PSDB",436,,,,,,,,
"534",74307,,,"Ubiratan Aguiar","",,436,,,,,,,,
"535",74308,189135.71,"RECURSOS DE PESSOAS JURÍDICAS","Vicente Arruda","CE","PROS",430,2099818.82,11,189135.71,2300101,1,,1,""
"536",74309,12000,"RECURSOS PRÓPRIOS","Zé Gerardo","CE","PMDB",399,9173211.04,11,12000,2300200,3,3.99726214921287,1,"Término da Legislatura"
"537",74310,,,"Alberto Silva","PI","PMDB",286,,,,,,2.65571526351814,1,"Falecimento"
"538",74312,,,"B. Sá","PI","PSB",196,,,,,,1.42094455852156,1,"Renúncia"
"539",74313,,,"Ciro Nogueira","PI","PP",225,,,,,,3.99726214921287,1,"Término da Legislatura"
"540",74315,,,"Heráclito De Sousa Fortes","PI","PFL",436,,,,,,,,
"541",74316,,,"João Henrique","",,436,,,,,,,,
"542",74317,693210.49,"RECURSOS PRÓPRIOS","Júlio Cesar","PI","PSD",313,5619779.01,14,693210.49,220095,10,,1,""
"543",74318,,,"Mussa Demes","PI","DEM",180,,,,,,1.76043805612594,1,"Falecimento"
"544",74319,1449327.71,"RECURSOS DE PESSOAS JURÍDICAS","Paes Landim","PI","PTB",358,2461081.59,13,1449327.71,220095,30,,1,""
"545",74321,352485,"RECURSOS DE PESSOAS JURÍDICAS","Betinho Rosado","RN","PP",278,1540616.52,12,375697.24,2400109,69,,4,"Secretário de Estado"
"546",74324,3363330,"RECURSOS DE PESSOAS JURÍDICAS","Henrique Eduardo Alves","RN","PMDB",99,6327768.96,11,3363327.21,2400109,1675,,1,""
"547",74325,,,"Ibere Ferreira","RN","PFL",436,,,,,,,,
"548",74326,,,"Laire Rosado","RN","PMDB",436,,,,,,,,
"549",74327,,,"Ney Lopes De Souza","RN","PFL",436,,,,,,,,
"550",74328,,,"Adauto Pereira","",,436,,,,,,,,
"551",74329,,,"Mário Assad Júnior","",,436,,,,,,,,
"552",74333,,,"Márcio Matos","PR","PT",436,,,,,,,,
"553",74335,,,"Edson Menezes Da Silva","","PCDOB",436,,,,,,,,
"554",74337,6420,"RECURSOS DE PESSOAS FÍSICAS","Milton Barbosa","BA","PSC",205,223575.11,61,6420,290170,7,0.457221081451061,1,"Afastamento"
"555",74338,,,"Jamil Haddad","RJ","PSB",436,,,,,,,,
"556",74339,,,"Luiz Salomão","",,436,,,,,,,,
"557",74340,,,"Airton Antonio Soligo","RR","PPB",436,,,,,,,,
"558",74341,1047670,"RECURSOS DE PESSOAS FÍSICAS","Sá","RR","PR",225,855934,12,1047653.25,1400027,50,0.418891170431211,1,"Término da Legislatura"
"559",74342,,,"Badu Picanço","AP","PL",436,,,,,,,,
"560",74343,,,"Dr. Benedito Dias","AP","PPB",436,,,,,,,,
"561",74344,,,"Eduardo Seabra","AP","PTB",436,,,,,,,,
"562",74345,591624,"RECURSOS DE PESSOAS FÍSICAS","Evandro Milhomen","AP","PCDOB",230,,,591621.11,1600055,45,,1,""
"563",74346,233399.34,"RECURSOS PRÓPRIOS","Jurandil Juarez","AP","PMDB",187,2206876.47,3,233394.34,1600055,7,3.99726214921287,1,"Término da Legislatura"
