id_deputado,nome_completo,sexo,uf,partido_atual,profissao,eleicao_ocupacao,eleicao_grau_instrucao,eleicao_partido,situacao,data_nascimento,data_falecimento,ano_inicio,data_saida,soma_documento,soma_glosa,soma_liquido
73592,Kátia Abreu,,TO,,436,,,,,,,1999,,0,0,0
73593,Rainel Barbosa,,TO,PMDB,436,,,,,,,1999,,0,0,0
73594,Nilmar Gavino Ruiz,F,TO,PEN,283,26,Superior completo,PR,S,1956-02-05,,1999,2013-03-11,739117.7499999992,6088.129999999996,733029.6199999995
73595,Chico Sardelli,,SP,PFL,436,,,,,,,1999,,0,0,0
73596,Saulo Coelho,,,,436,,,,,,,1991,,0,0,0
73599,Edir Pedro De Oliveira,M,RS,PTB,372,,,,S,1950-02-03,,1999,,380.48,0.0,380.48
73601,Moacir Piovesan,,PR,PDT,436,314,Superior completo,PSC,,1957-05-01,,1999,,0,0,0
73602,Manoel Vitório,,,,436,,,,,,,1999,,0,0,0
73603,Orlando Fantazzini,,SP,PT,436,,,,,,,1999,,0,0,0
73612,Paulo José Alves Rattes,M,RJ,PMDB,0,245,Superior completo,PMDB,E,1933-12-21,,2007,,369585.1600000009,923.5499999999998,368661.6100000009
73643,Wagner Amaral Salustiano,,SP,PPB,436,,,,,,,1995,,0,0,0
73644,Welson Gasparini,,,PPR,436,,,,,,,1995,,0,0,0
73645,Zulaie Cobra,,SP,PSDB,436,,,,,,,1995,,0,0,0
73646,Antônio Joaquim,,MT,PDT,436,,,,,,,1991,,0,0,0
73651,Rogerio Lucio Soares Da Silva,M,MT,PP,116,,,,E,1954-11-22,,1995,,458.17,0.0,458.17
73652,Aparecida Maria Borges Bezerra,,MT,PMDB,436,,,,,,,1995,,0,0,0
73653,Wellington Antonio Fagundes,M,MT,PR,223,26,Superior completo,PR,E,1957-06-01,,2003,,1092523.6199999987,9771.219999999985,962752.4000000029
73654,Agnelo Santos Queiroz Filho,,DF,PCDOB,436,,,,,,,1995,,0,0,0
73655,Augusto Silveira De Carvalho,M,DF,SDD,0,26,Superior completo,PPS,E,1953-07-27,,1991,2013-10-01,841810.7699999998,2543.3399999999997,819467.4299999998
73658,Jofran Frejat,M,DF,PR,196,,,,E,1937-05-19,,1991,,251437.55999999988,213.19,251224.36999999988
73659,Maria Laura,,,,436,,,,,,,1991,,0,0,0
73660,Osório Adriano Filho,M,DF,DEM,137,,,,S,1929-07-10,,1991,2007-04-23,38572.85000000001,40.0,38532.85000000001
73661,Wigberto Tartuce,,DF,PPB,436,,,,,,,1995,,0,0,0
73662,Aldo Arantes,,GO,PCDOB,436,,,,,,,1995,,0,0,0
73666,Jovair De Oliveira Arantes,M,GO,PTB,2,26,Superior completo,PTB,E,1951-06-04,,1995,,1545841.4800000018,130027.42999999995,1415814.0500000056
73667,Lidia Quinan,,GO,PSDB,436,,,,,,,1995,,0,0,0
73672,Pedro Canedo,,,PSDB,436,,,,,,,1995,,0,0,0
73673,Pedro Wilson Guimarães,M,GO,PT,433,,,,E,1942-02-24,,1995,,503746.91000000015,3304.4199999999987,500442.4900000003
73674,Roberto Egídio Balestra,M,GO,PP,138,26,Superior completo,PP,E,1944-05-24,,1991,,1123388.389999996,30964.850000000002,1089051.909999996
73676,Sandro Antonio Scodro,M,GO,PMDB,399,26,Superior completo,PR,E,1958-12-31,,1995,2011-11-03,1488019.4400000009,12243.600000000004,1473784.0399999998
73677,Vilmar Da Silva Rocha,M,GO,PSD,264,397,Superior completo,DEM,L,1951-02-14,,1991,2011-10-26,561.16,0.0,561.16
73678,Zé Gomes Da Rocha,,GO,PMDB,436,,,,,,,1991,,0,0,0
73679,Andre Puccinelli,,MS,PMDB,436,,,,,,,1995,,0,0,0
73680,Dilso Sperafico,,,,436,,,,,,,1995,,0,0,0
73681,Ariston Andrade,,,,436,,,,,,,1999,,0,0,0
73682,João Eduardo Dado Leite De Carvalho,M,SP,SDD,102,18,Superior completo,PDT,E,1954-12-16,,2003,2013-10-01,1278369.1800000067,21923.97999999998,1254093.2000000093
73683,Ary José Vanazzi,,RS,PT,436,,,,,,,1999,,0,0,0
73684,Orlando Desconsi,,RS,PT,436,,,,,,,1999,,0,0,0
73685,Divaldo Suruagy,,AL,PST,436,,,,,,,1999,,0,0,0
73686,Ana Corso,,RS,PT,436,,,,,,,1999,,0,0,0
73687,Tânia Soares,,SE,PCDOB,436,,,,,,,1999,,0,0,0
73688,Kincas Mattos,,,,436,,,,,,,1999,,0,0,0
73689,Clovis Ilgenfritz,,RS,PT,436,,,,,,,1999,,0,0,0
73690,José Elízio Andrade,,RN,PDT,436,,,,,,,1999,,0,0,0
73691,Haroldo Bezerra,,,,436,,,,,,,1999,,0,0,0
